"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0009056","catabolic process",271,0.405056390616656,1.93056787467095,6.63160549973248e-10,1.29117359079791e-06,1.29117359079791e-06,273,"tags=31%, list=19%, signal=31%","725/1890/1200/3002/5641/5045/957/27074/3458/6609/2203/4745/5721/1519/6737/1512/5720/8804/634/255738/10924/7430/1075/79077/5320/6652/6470/2720/642/27429/4907/411/8942/5601/4869/6419/5657/51540/1956/83636/23659/2521/3920/51181/3162/216/1066/3964/3001/100/3303/2517/127/29952/2023/3952/4233/2678/4025/5052/3791/7124/30/1208/7078/4048/3290/2938/148811/64080/3569/87178/189/2053/279/8530/2332/3949/11164/3315/10296/1514/841",0.801215574617779
"GO:0007155","cell adhesion",354,-0.417358202771786,-1.8536736504912,1.45607171091568e-09,1.41748581057642e-06,1.41748581057642e-06,350,"tags=38%, list=25%, signal=38%","5175/10232/51206/2056/3572/6403/1490/5068/654/3373/3693/10272/147409/8581/1942/4345/27329/6900/1041/26047/780/4072/1969/5797/6422/1013/4254/8764/940/8578/7070/4852/151887/56477/8840/3689/10669/51330/682/3678/10653/945/7058/53942/947/1604/80381/3910/6091/285704/1088/81607/3815/1015/83692/3490/90952/3694/6441/30835/921/6366/7048/214/347902/7499/80781/999/3960/1829/2041/3491/4685/5133/2022/8639/3897/10752/7301/94/923/4267/2064/23308/8404/3556/4340/4179/1001/1272/266727/94025/11126/375033/8745/22801/10085/53616/1293/3575/283659/2191/965/50856/1830/58494/1003/6092/27242/8751/3695/8829/4856/3688/3685/7060/5802/10418/4321/7087/152330/10457/4162/84466/652/23768/22918/1004/64084/7148/1824/91179/1311/91653/50937",0.788186810800237
"GO:0009653","anatomical structure morphogenesis",309,-0.420873772369845,-1.84802278744999,7.1699742350365e-09,4.65331327853869e-06,4.65331327853869e-06,337,"tags=37%, list=24%, signal=36%","356/51129/3373/3693/1945/4854/140862/7483/5617/1942/2817/27329/2051/793/2348/6900/7857/2069/1041/26047/133/780/2149/2658/1969/5797/6422/126393/1013/4884/2263/170689/7070/374946/3689/51330/682/3678/10653/7058/53942/947/84957/4880/6091/25805/1277/64094/3815/1015/59/3490/2277/3694/8742/3934/7048/214/4090/80781/999/161198/1829/2041/9982/1282/51738/57125/577/2022/4681/3897/94/4915/5159/56963/4322/285/2064/350/2202/1001/1272/7252/11126/9622/2191/4879/1003/6092/8751/1297/3339/8829/2676/4856/1368/3688/3685/7060/5802/11202/4321/152330/7049/10457/4162/6369/652/23768/8076/22918/1004/1311/91653",0.761460801445585
"GO:0048731","system development",447,-0.382611533925384,-1.72508515985087,2.16822020719365e-08,1.05538118585151e-05,1.05538118585151e-05,363,"tags=35%, list=26%, signal=38%","56955/4747/162466/26254/7132/5175/51206/2056/11005/3572/356/51129/93185/654/3373/1945/4854/140862/7483/5617/1942/2817/27329/2051/793/2348/6900/23544/7857/2069/26047/133/780/4072/2658/1969/5797/6422/126393/4254/4884/4055/2263/8792/8764/8578/7070/4852/374946/8840/3689/1081/10406/51330/26470/682/3678/3601/7058/53942/947/441549/4880/3910/6091/1277/64094/3459/3815/1015/59/3490/2277/5653/2688/6441/25884/8742/7048/214/4090/347902/80781/999/2250/161198/1829/2041/9982/1282/3482/51738/57125/577/2022/4681/3897/10752/7301/94/4915/5159/56963/4322/8074/285/2675/2064/3556/4340/350/10218/2202/1272/4916/4969/266727/11126/8745/558/53616/79827/283659/2191/4879/58494/1003/6092/27242/8751/3339/8829/2676/4856/3688/3685/7060/5802/11202/7087/152330/23413/7049/10457/4162/6369/652/1178/23768/8076/22918/64084/7148/1311/91653/55118/50937",0.73376198835648
"GO:0044281","small molecule metabolic process",164,0.435576027720661,1.99799108872484,7.56660201041402e-08,2.94643482285522e-05,2.94643482285522e-05,244,"tags=32%, list=17%, signal=30%","65220/1890/6241/957/2350/3458/6480/2203/6482/634/255738/10924/79077/5805/6652/6470/2720/10135/642/4907/50484/8942/51540/23659/51181/117/3612/216/834/1066/100/3303/23516/3930/142/2517/127/60490/2023/3952/80146/2678/4025/1357/7124/30/4048/2938/148811/64080/189/10020/2053",0.704975715167238
"GO:0019637","organophosphate metabolic process",91,0.504953851709086,2.15334696497631,3.06124229816686e-07,9.93373125755147e-05,9.93373125755147e-05,176,"tags=29%, list=12%, signal=27%","65220/1890/6241/957/3458/6609/2203/10924/79077/5320/6652/6470/10135/4907/50484/8942/23659/51181/117/3612/100/3303/142/60490/2023/80146",0.674962860011025
"GO:1901135","carbohydrate derivative metabolic process",103,0.464000356377942,1.98465085312181,1.65022899304282e-06,0.0003745096765092,0.0003745096765092,176,"tags=28%, list=12%, signal=27%","65220/1890/6241/957/3458/6609/6480/2203/6482/79077/2590/6652/6470/2720/5806/4907/50484/411/9394/51181/117/216/100/3303/9953/142/2517/2023/80146",0.643551836150722
"GO:0001944","vasculature development",169,-0.440581346557478,-1.82490292505898,1.7311695370225e-06,0.0003745096765092,0.0003745096765092,350,"tags=43%, list=25%, signal=37%","5175/51206/11005/356/51129/3373/4854/140862/5617/1942/27329/2348/7857/2069/133/2658/1969/5797/6422/126393/2263/7070/3689/10406/51330/682/3678/7058/947/4880/6091/1277/64094/3815/59/3490/2277/8742/7048/80781/161198/1829/2041/9982/1282/51738/57125/577/2022/94/5159/285/2064/350/10218/11126/2191/4879/1003/6092/8751/3339/8829/4856/3688/3685/7060/7049/10457/4162/6369/652/22918",0.643551836150722
"GO:0048513","animal organ development",281,-0.403896438016409,-1.78097834084111,1.4482924461569e-06,0.0003745096765092,0.0003745096765092,363,"tags=37%, list=26%, signal=35%","56955/4747/162466/50604/26254/7132/5266/5175/11005/5068/93185/654/3373/4854/7483/5617/1942/3605/2817/793/2348/23544/2069/1041/26047/780/4072/2658/1969/5797/2323/6422/4254/4055/2263/8792/7070/4852/374946/8840/1081/10406/26470/682/53942/947/84957/4880/6091/4023/25805/1277/3815/1015/59/3694/2688/6441/25884/7048/4090/347902/80781/999/1829/3491/1282/3482/51738/2022/7301/94/4915/5159/4322/8074/285/10218/2202/1001/1272/4916/4969/266727/9622/22801/1293/4879/6092/8751/1297/3339/114990/8829/4856/3688/152330/7049/84466/652/23768/8076/1311/4919/50937",0.643551836150722
"GO:0006753","nucleoside phosphate metabolic process",58,0.561035879172546,2.16179884226949,2.26931528828228e-06,0.000401668806025963,0.000401668806025963,176,"tags=34%, list=12%, signal=31%","65220/1890/6241/957/3458/2203/10924/79077/6470/10135/4907/50484/8942/117/100/3303/142/60490/2023/80146",0.627256739718528
