"factor","rank","feature","gene_symbol","value","abs_weight","view"
"Factor1",1,"ENSG00000184613","NELL2",-0.0169803947210312,0.0169803947210312,"RNA"
"Factor1",2,"ENSG00000137965","IFI44",0.0166648887097836,0.0166648887097836,"RNA"
"Factor1",3,"ENSG00000168062","BATF2",-0.016557602211833,0.016557602211833,"RNA"
"Factor1",4,"ENSG00000211899","IGHM",-0.016172094270587,0.016172094270587,"RNA"
"Factor1",5,"ENSG00000276107","ENSG00000276107",0.0160957854241133,0.0160957854241133,"RNA"
"Factor1",6,"ENSG00000164047","CAMP",-0.0149079570546746,0.0149079570546746,"RNA"
"Factor1",7,"ENSG00000137801","THBS1",0.0144719853997231,0.0144719853997231,"RNA"
"Factor1",8,"ENSG00000278621","ENSG00000278621",0.0137175619602203,0.0137175619602203,"RNA"
"Factor1",9,"ENSG00000115590","IL1R2",0.0134798381477594,0.0134798381477594,"RNA"
"Factor1",10,"ENSG00000104918","RETN",0.0133098065853119,0.0133098065853119,"RNA"
"Factor1",11,"ENSG00000099998","GGT5",0.0129575384780765,0.0129575384780765,"RNA"
"Factor1",12,"ENSG00000110079","MS4A4A",0.0127812018617988,0.0127812018617988,"RNA"
"Factor1",13,"ENSG00000133169","BEX1",0.0126442518085241,0.0126442518085241,"RNA"
"Factor1",14,"ENSG00000173369","C1QB",0.0119929071515799,0.0119929071515799,"RNA"
"Factor1",15,"ENSG00000173114","LRRN3",-0.0119758481159806,0.0119758481159806,"RNA"
"Factor1",16,"ENSG00000136999","CCN3",-0.0117198601365089,0.0117198601365089,"RNA"
"Factor1",17,"ENSG00000112299","VNN1",0.0114672938361764,0.0114672938361764,"RNA"
"Factor1",18,"ENSG00000185507","IRF7",0.0112641705200076,0.0112641705200076,"RNA"
"Factor1",19,"ENSG00000125148","MT2A",0.0111588938161731,0.0111588938161731,"RNA"
"Factor1",20,"ENSG00000188313","PLSCR1",0.0111507000401616,0.0111507000401616,"RNA"
"Factor2",1,"ENSG00000227115","LINC01630",0.492612540721893,0.492612540721893,"RNA"
"Factor2",2,"ENSG00000286215","VIM2P",0.488815516233444,0.488815516233444,"RNA"
"Factor2",3,"ENSG00000140538","NTRK3",0.48841604590416,0.48841604590416,"RNA"
